Timesteps,Avg Return,Std Error
171000,-356.1159662207112,8.935776053937307
172000,-354.87597015793165,9.14747525091482
173000,-354.7683155538239,9.150806967823502
174000,-353.3644662417219,9.055903579558713
175000,-353.8180012533391,9.06377759006214
176000,-354.02509402519644,9.064427096118365
177000,-354.46625120932885,9.068473276717404
178000,-353.00900402626206,9.060688542867242
179000,-352.7700711945955,9.057255941986082
180000,-353.74051592740506,9.041283972495766
181000,-350.0729197651827,8.178782196344283
182000,-350.92070762611786,8.142855981509804
183000,-351.9019641317087,8.051367561634525
184000,-351.0680789919978,8.054798331465143
185000,-350.37976501549065,8.08477341164608
186000,-352.11960951147194,8.051598710694277
187000,-352.2342989547353,8.046065115973231
188000,-353.9605488902104,8.024996506209781
189000,-356.5504206422697,8.343916065010033
190000,-357.3127171317273,8.435269661790088
191000,-355.5904416428322,8.440938982777327
192000,-353.3363579516608,8.474244203419332
193000,-353.1400784584559,8.480581028876635
194000,-353.72987203656686,8.488229969179798
195000,-353.0021417788783,8.483703554308281
196000,-352.8393627715198,8.491188452446988
197000,-353.1994490433215,8.465528897332119
198000,-353.3932294230427,8.43186384233212
199000,-354.3814013014139,8.368139187167182
200000,-354.2756116025476,8.37168535170452
201000,-353.24662731278164,8.398864122688531
202000,-353.1322898605059,8.395713739368162
203000,-352.63332193321696,8.390429670257209
204000,-351.99385731677796,8.405711480439743
205000,-351.06911559397616,8.198957889370217
206000,-350.3543360069194,8.208237861804697
207000,-349.9597694103606,8.227446778377955
208000,-348.8248227284693,8.199634700222132
209000,-348.2579253367741,8.142016414778656
210000,-347.8857611747033,8.13166164128557
211000,-346.04504320920046,7.59898332346975
212000,-343.947199644842,6.947815448995508
213000,-344.9978677453265,7.031616771938514
214000,-345.70837704328295,7.065088797014224
215000,-345.2473950939221,7.082984063690802
216000,-345.53909896221813,7.061396353785058
217000,-346.2099755412669,7.039468434187569
218000,-345.50607008842303,7.02735310629853
219000,-347.23944947614257,6.864435271398058
