Timesteps,Avg Return,Std Error
268000,-347.2395762989238,7.977928970418523
269000,-349.1361615892324,8.032372384814702
270000,-348.7156635372339,8.048503076991825
271000,-347.929566443148,8.028795148165553
272000,-347.09126416882316,8.12025539793891
273000,-345.92919251819774,7.993012974543561
274000,-346.80697661016546,7.947198471726272
275000,-349.6526707495092,8.034161085680154
276000,-349.70997139256286,8.031945450938125
277000,-350.3173243708752,8.037423135738917
278000,-351.4655245724946,8.109585547138785
279000,-351.5494170141721,8.111603686286756
280000,-351.95637751924204,8.190708644417008
281000,-353.6160973847608,8.114870558557582
282000,-353.45412747450604,8.108695451299848
283000,-354.0215800883098,8.12161305692495
284000,-354.51851287036067,8.081946505261959
285000,-355.2510024142245,7.994365238260923
286000,-355.02657415319203,8.006330273027107
287000,-357.75074144555356,7.93702459789677
288000,-359.7799391077647,7.670431918497227
289000,-359.73574888835384,7.669369117762173
290000,-360.0071075092401,7.659089866176757
291000,-358.57892325278857,7.6286601700285015
292000,-358.20295182984563,7.6547555517666455
293000,-359.0431033114626,7.661291102399126
294000,-357.09620340736615,7.924630783133648
295000,-357.67657563380817,7.869753073034085
296000,-359.2331703704437,7.823401202720532
297000,-358.0169365022238,7.813853401218104
298000,-357.8360271152084,7.810833361230618
299000,-358.13604684105843,7.794323726159744
300000,-356.5363296657777,7.761287855250577
301000,-356.1624784943882,7.8070513133125825
302000,-356.86966994215146,7.836468751121029
303000,-357.4338012432296,7.8423543028268
304000,-357.24282287989627,7.8404112052827175
305000,-357.5897850661729,7.849204221091706
306000,-357.60293618605283,7.849848088575705
307000,-358.7639043800443,7.767623826666724
308000,-357.22462688647227,7.762149847120372
309000,-355.85091127943303,7.903836051328812
310000,-353.6133626973611,7.6285776449380425
311000,-352.6543274232375,7.7526699783615545
312000,-352.1388057804815,7.738420192939192
313000,-353.4528793812992,7.712077094493386
314000,-352.6270695404008,7.629948816623427
315000,-352.6590996991934,7.629553941203573
316000,-353.5194996750566,7.689218717234253
317000,-353.8110012132916,7.698471771646515
318000,-353.51686213683365,7.701268892175385
319000,-352.78666976817544,7.7120783751368975
320000,-352.9212367723813,7.711917071917059
321000,-352.462676629561,7.774416282706733
322000,-354.07491090403545,7.949541984184388
323000,-353.6758979211474,7.934411253733822
324000,-352.95037741818965,7.964828607864919
325000,-351.9156890171094,8.042738229715622
326000,-350.6607181139623,8.20160295671841
327000,-349.8141658978992,8.228879650929297
328000,-350.1448050010765,8.2511883060019
329000,-351.63589236548876,8.079600921868856
330000,-353.04252814134423,7.983196548584393
331000,-354.28008173060465,7.953131079372904
332000,-354.06851271742505,7.95794398514226
333000,-356.267399042224,7.936780461854347
334000,-355.61195184656566,7.939717673811994
335000,-354.93354941973763,7.950909956214273
336000,-355.1481239957341,7.938084782952592
337000,-354.38059164417973,7.910396823185377
338000,-354.22043822531276,7.910078678905025
339000,-351.4058136974052,8.271476258368791
340000,-353.449371693127,8.286891260207815
341000,-352.4295055009896,8.305268959324753
342000,-353.1553324487322,8.394410650455777
343000,-351.99783745458706,8.288401082648464
344000,-352.15634694512215,8.282594618875297
345000,-352.57830326582933,8.327720497510748
346000,-352.34631025849853,8.336758313331481
347000,-350.6913818365502,8.278788083463384
348000,-350.82403731881453,8.27348954636574
349000,-350.87295761843956,8.275699435527757
350000,-352.4761279874227,8.397900010546907
351000,-351.00965109857424,8.404277157912722
352000,-352.91440863485946,8.46583309556082
353000,-354.13181412355317,8.300291371183032
354000,-353.85375704622675,8.288641998339113
355000,-356.0427815761225,8.064735764487011
356000,-354.7729894945302,8.106050702300118
357000,-353.96673113145005,8.092309472214763
358000,-353.60070081658336,8.083337360481616
359000,-353.8044418259861,8.097525974922718
360000,-352.6241071142674,8.006687689130647
361000,-351.40451388372975,7.893615766317178
362000,-350.5558054622402,7.817570565763323
363000,-351.4102962626983,7.906754944792122
364000,-351.29565308313795,7.918061479008735
365000,-352.08125268331526,7.923004190858448
366000,-352.51223763327556,7.941279741163678
367000,-351.2854916327719,7.845424509130687
368000,-353.6404557469231,7.854758051294913
369000,-350.3072284183032,8.075044522343818
370000,-350.72411188092593,8.058189400109482
371000,-349.79445752062276,8.135770852806058
372000,-350.9927165157255,8.027564559729612
373000,-351.27088726572043,8.04120599595623
374000,-349.80190318312225,8.177657140696171
375000,-347.2144953877442,8.059562691707363
376000,-348.2633165338874,8.093569368701925
377000,-347.71904353875783,8.085210947893803
378000,-347.0646750905809,8.021073946028071
379000,-346.9816369943638,8.01858501806933
380000,-345.3573310695063,7.806823556222265
381000,-345.9041520348887,7.8628188454185715
382000,-346.4002428367827,7.89745341472579
383000,-346.04603415775773,7.880998195194783
