Timesteps,Average Return,Standard Error
159000,-2307909.0461898684,257589.54080004356
160000,-2312163.4137607445,257295.11026027295
161000,-2313266.1693813517,257211.2522949351
162000,-2312664.178733463,257252.04736090303
163000,-2304962.6886434834,257690.7173036395
164000,-2293947.985421062,258257.30489766636
165000,-2291073.876408426,258450.92886340656
166000,-2294222.30078779,258215.14977901353
167000,-2309519.0964709814,257474.94935802315
168000,-2329844.8221328687,256760.15134656866
169000,-2359125.8886404256,255984.6822820283
170000,-2401089.2902688454,256159.89182015034
171000,-2441227.3046166543,255982.43926323205
172000,-2479995.4291323214,255725.40060812762
173000,-2491724.693903386,254890.5720190668
174000,-2497938.0466195107,254375.23353579658
175000,-2510970.423334258,253486.23254900525
176000,-2525815.3582521044,252507.1442333605
177000,-2552553.269150695,251305.8767136658
178000,-2568438.220690462,250261.6740652013
179000,-2608430.9831001703,250081.5934994888
180000,-2610775.112434789,249943.92197877626
181000,-2600024.4536251067,250234.01033683415
