Timesteps,Average Return,Standard Error
78000,-961.9936000901507,0
79000,-967.8169863791572,0
80000,-974.0775635089612,0
81000,-975.9128917278936,0
82000,-977.6984349799956,0
83000,-978.8708778123737,0
84000,-982.6611999490511,0
85000,-985.7123142466721,0
86000,-986.376479865437,0
87000,-988.2605748316139,0
88000,-989.0097767700255,0
89000,-989.5373295082246,0
90000,-989.4733777082977,0
91000,-990.4263449129375,0
92000,-992.4791094348941,0
93000,-993.1660471525239,0
94000,-992.5626668478474,0
95000,-992.4870730009695,0
96000,-992.1118041818401,0
97000,-991.6106681405306,0
98000,-991.6837113049095,0
99000,-991.1783494374614,0
100000,-991.4903507736749,21.459268284102638
101000,-994.3975264087738,21.35977023174442
102000,-1001.1228862156134,20.557273922708912
103000,-1006.3997935600969,20.160207386981543
104000,-1009.4964587094832,19.99480513834299
105000,-1011.9962958046775,19.80432816360576
106000,-1016.9036403385378,19.28842559303914
107000,-1020.9899930996509,18.914668244505325
108000,-1023.3989834267708,18.733308746456924
109000,-1026.8378368691901,18.23134163986949
110000,-1030.067169077746,17.954007241534605
111000,-1031.4128355096718,17.830167383796844
112000,-1033.613107580397,17.69308270645749
113000,-1035.5629931568683,17.565258040977987
114000,-1036.6382330065387,17.509680222261938
115000,-1040.582739523809,17.362276117740073
116000,-1044.3766684637815,17.053100161158596
117000,-1048.317464261078,16.737732954328735
118000,-1051.5234354321346,16.490042809239956
119000,-1052.9438619212851,16.36775311899061
120000,-1055.6686981585297,16.144898722964452
121000,-1057.2927542225445,16.023509987342894
122000,-1057.8651966006382,15.981034858879658
123000,-1059.8350255635064,15.711975849460805
124000,-1061.0375847095431,15.570362864155474
125000,-1063.3968972409975,15.267354515396601
126000,-1063.3433492601773,15.270736128754255
127000,-1064.4240105070471,15.214777331765916
128000,-1067.6108117377435,14.721079531612238
129000,-1069.1976868214815,14.516953546120359
130000,-1070.4779514058444,14.455088340139799
131000,-1071.2579992124474,14.359256406964676
132000,-1070.1464145246955,14.439408510979586
133000,-1071.9620550555069,14.098151613226884
134000,-1072.885710459089,13.911169322620434
135000,-1072.9938870845378,13.903650877947765
136000,-1073.5508238694033,13.845269310343175
137000,-1073.7330639417792,13.847013058296028
138000,-1072.83847677633,13.859576679621119
139000,-1070.645965225053,13.867288865182264
140000,-1069.0114690053297,13.880272472055074
141000,-1069.9888281064614,13.854772807091354
142000,-1070.1486172665157,13.840243720267873
143000,-1070.7969327645337,13.77301403191151
144000,-1071.18571057471,13.733426543738238
145000,-1072.3232766225794,13.756776778900525
146000,-1072.7395670893002,13.715437997539121
147000,-1069.4999038031938,14.008983950542392
148000,-1066.2210898725662,14.049489839893184
149000,-1064.9633960631195,14.041074968583805
150000,-1063.3309401891324,14.17080120687882
151000,-1064.4270970857565,14.020065966963411
152000,-1061.586548939179,14.13618935612752
153000,-1060.232438404887,14.100837813799203
154000,-1058.9377257118779,14.27913097542761
155000,-1060.428891063858,14.150233215065487
156000,-1059.219538631118,14.243418115582196
157000,-1058.4738696205836,14.337234748559258
158000,-1055.3972752288194,14.698324771268933
159000,-1054.2275239916391,14.774416004139942
160000,-1049.7591872806731,15.087061132970572
161000,-1045.1684836187185,15.440593866644022
162000,-1042.9304188617928,15.732805811977562
163000,-1040.414734399382,15.739257261301049
164000,-1038.2478020845188,15.780364506955262
165000,-1034.8613534101728,15.792854449621922
166000,-1033.2932343972209,15.784865622361187
167000,-1030.4530646464775,15.625807687414872
168000,-1025.5653065373579,15.84597579966776
