Timesteps,Average Return,Standard Error
204000,-862.5118382778693,7.116392067572598
206000,-861.9069281596508,7.100152071616736
208000,-860.8436095608539,7.083209601756474
210000,-859.7641649220598,7.029233661072
212000,-858.2473622518129,7.078619297323895
214000,-857.4102206056378,6.946400130776544
216000,-858.1252838276092,7.022970425768253
218000,-859.3515409409033,7.112521593179309
220000,-857.3306820181419,7.046607371199064
222000,-858.309547845856,6.89954821850728
224000,-859.3409885886226,7.171628746880063
226000,-859.4783041344396,7.173384130018486
228000,-858.365620133573,7.127013339983025
230000,-858.0340195061357,7.175817252634859
232000,-858.7882300021529,7.173296516558361
234000,-858.8974029388763,7.194043503484179
236000,-858.7743031873666,7.193103898156832
238000,-857.9391441726565,7.365640681411219
240000,-859.8140392176185,7.398603480189398
242000,-860.1965235695341,7.401830543517629
244000,-861.8500372873434,7.32170802279331
246000,-861.1620726541732,7.3216221804599275
248000,-860.0765321933661,7.341894868957449
250000,-861.5970309455163,7.3926512376857
252000,-858.5646109744786,6.946548300991269
254000,-857.5488303858095,6.866890959637095
256000,-858.6785855735226,6.75255212845493
258000,-857.8680633788783,6.807275868431089
260000,-856.9184956042981,6.818165093700455
262000,-857.2699636330944,6.83078692220101
264000,-857.3648137717142,6.837336747928537
266000,-858.5912006940223,6.885953601291687
268000,-856.6741645209742,6.932465661809545
270000,-855.5486580148342,7.046605882409527
272000,-853.976781192298,7.0030362084856135
274000,-855.0830826600748,7.055931036581225
276000,-856.0864541244852,7.089825396577067
278000,-858.2160495352084,7.01066259340305
280000,-859.0000615637462,6.90342087791384
282000,-857.5941664926742,6.951993905033132
284000,-857.9223315866383,6.972363778922501
286000,-856.1020411643899,7.075940636938263
288000,-855.5576425042407,7.077016085220777
290000,-856.7914236150305,7.180560533705972
292000,-854.8259735759643,6.931416911459922
294000,-852.4612926398613,6.779531482864684
296000,-854.1992964443338,6.773897793642064
298000,-854.8393519817837,6.730383987449104
300000,-854.8856434239461,6.807744161916942
302000,-856.1013365054105,7.016442300485638
304000,-857.2313037390007,6.974431387396147
306000,-856.4535206856262,6.990057514996792
308000,-857.0973729880955,7.020187352682575
310000,-857.7953523718678,7.035712535552558
312000,-859.7666669146239,6.981497991065446
314000,-861.9221874312107,7.071801768366065
316000,-861.8894622750043,7.017095070767456
318000,-863.2737406904208,6.960727755097591
320000,-864.7267134570076,7.097723695192206
322000,-863.8501745426593,7.122092568700263
324000,-862.8729773870404,6.868696920763879
326000,-863.4698545435306,6.881135805611632
328000,-864.2502523405476,6.849725976434888
330000,-865.5124150652072,6.812916743679111
332000,-866.0460234900519,6.827613321930697
334000,-866.2745228584492,6.790179126212093
336000,-867.2833570902288,6.834126077948049
338000,-870.1948257477849,6.3856451321125505
340000,-869.7259453991473,6.308521733126062
342000,-869.0875093197958,6.3938695793052185
344000,-869.0826607043329,6.349574749099193
346000,-869.1091516684749,6.354454544063658
348000,-870.8614050383056,6.321776236180147
350000,-868.6472236291768,6.3657567740805
352000,-871.1600780690491,6.303511461857642
354000,-872.3930437596985,6.306167340166117
356000,-871.5493593432454,6.333156396587416
358000,-871.9143784681834,6.310256228662519
360000,-871.2329294387644,6.375765246867176
362000,-867.9755772749278,6.64629150638239
364000,-867.8000043405932,6.641839960899928
366000,-867.0871652400909,6.6085744212319595
368000,-869.4625141227526,6.742235834139464
370000,-868.9994885503912,6.706711918135191
372000,-867.5708997718649,6.866375225753157
374000,-865.1623398956502,6.87100960429476
376000,-863.061512081485,6.827289416606247
378000,-862.9206737349851,6.849351962626083
380000,-863.6630412628807,6.85829883741328
382000,-863.7992383337984,6.832779602389657
384000,-863.1445923390354,6.821813670200323
386000,-864.1560386804106,6.716284829889732
388000,-863.8084589753348,6.59681917197271
390000,-858.5045550140526,6.852912884954172
392000,-858.2089741867156,6.838378545152932
394000,-858.347727477368,7.002171545047288
396000,-855.8913358308729,7.106006180641328
398000,-855.0351869354857,7.085866540192603
400000,-853.7520923822684,6.996573540006388
402000,-852.4677175903278,6.764850858320925
404000,-852.4242055709533,6.766463655954024
406000,-852.2657502977809,6.791710838936195
408000,-851.7232558606737,6.780566845771692
410000,-850.1885945494687,6.801295395214931
412000,-848.9026331849404,6.80134614537671
414000,-846.7514729318901,6.722644777420416
416000,-846.3949030918742,6.693677262755995
418000,-843.5142683405378,6.627964560303536
420000,-842.0593434187098,6.431609203065666
422000,-842.5329054224726,6.440796289135733
424000,-842.7206404635907,6.423696520010893
426000,-841.8449174701968,6.405146294072511
428000,-840.3003557125902,6.5396858401817495
430000,-838.7778620209698,6.659782790527291
432000,-836.698802224657,6.635922106478266
434000,-833.562435908358,7.009006843963394
436000,-831.4735983802043,6.88893196137343
438000,-830.0156937408287,6.898421181167945
440000,-827.2977119437779,6.903065911987852
442000,-827.5440755636441,6.84660345689443
444000,-826.7864401871467,6.836936641665504
446000,-826.3343189344906,6.830764339685251
448000,-825.7944343871413,6.757828660678486
450000,-826.9293654265953,6.772943363002774
452000,-825.0152283112631,6.578764828032836
