Steps,Average Return,Standard Error
387000,614.18,45.26
388000,585.43,44.67
389000,584.94,44.13
390000,574.35,44.46
391000,579.66,45.39
392000,569.21,45.08
393000,584.74,45.06
394000,573.96,44.61
395000,542.71,45.43
396000,463.58,40.36
397000,431.27,38.07
398000,438.62,38.03
399000,433.34,37.54
400000,440.95,37.89
401000,441.44,37.96
402000,446.17,38.27
403000,448.67,38.54
404000,449.13,38.6
405000,454.59,38.89
406000,457.03,39.14
407000,456.87,39.12
408000,447.35,38.98
409000,455.87,39.38
410000,461.06,39.72
411000,453.29,37.87
412000,435.89,37.51
413000,375.26,38.93
414000,360.57,37.8
415000,365.9,38.1
416000,367.22,38.43
417000,383.32,40.35
418000,359.36,38.17
419000,367.29,38.4
420000,370.13,38.34
421000,375.92,39.01
422000,408.68,44.95
423000,430.44,46.1
424000,455.03,49.62
425000,460.39,49.65
426000,492.96,51.28
427000,515.81,51.04
428000,524.36,50.68
429000,547.06,52.38
430000,569.15,53.02
431000,576.43,53.08
432000,573.04,53.09
433000,567.52,53.04
434000,555.46,52.89
435000,562.11,53.34
436000,556.68,53.28
437000,574.45,52.95
438000,580.78,52.45
439000,583.21,52.15
440000,549.74,52.94
441000,535.6,51.87
442000,546.95,51.54
443000,561.65,51.73
444000,554.19,51.71
445000,501.54,46.08
446000,484.36,42.76
447000,487.42,42.16
448000,466.12,39.16
449000,444.57,36.16
450000,457.7,41.05
451000,477.3,43.79
452000,455.34,41.41
453000,450.92,40.94
454000,458.25,42.37
455000,431.59,40.6
456000,413.76,39.77
457000,420.11,39.62
458000,434.24,39.9
459000,449.97,39.09
460000,460.71,38.73
461000,474.45,38.62
462000,468.93,40.37
463000,451.17,39.27
464000,468.46,39.99
465000,479.15,40.06
466000,484.63,40.0
467000,488.78,40.98
468000,493.39,41.36
469000,514.28,44.15
470000,514.72,44.27
471000,481.08,36.1
472000,481.93,36.04
473000,474.6,35.06
474000,469.65,35.42
475000,476.46,36.07
476000,465.55,35.37
477000,483.76,35.51
478000,504.99,36.27
479000,519.33,36.51
480000,502.04,35.06
481000,513.16,35.59
482000,523.76,36.13
483000,518.93,35.78
484000,503.36,36.28
485000,498.92,34.88
486000,466.27,31.08
487000,474.2,30.77
488000,459.98,30.27
489000,457.2,29.53
490000,464.24,29.15
491000,448.88,29.87
492000,452.99,30.28
493000,452.69,30.33
494000,452.3,31.05
495000,441.01,30.61
496000,439.04,30.24
497000,459.08,32.68
498000,448.08,31.08
499000,418.29,29.23
500000,423.9,29.86
501000,428.03,29.22
502000,424.25,29.0
503000,423.79,29.05
504000,440.59,32.82
505000,450.47,34.29
506000,455.14,34.16
507000,459.07,34.48
508000,473.07,35.19
509000,467.73,35.26
510000,480.74,35.32
511000,498.65,35.41
512000,511.73,35.3
513000,534.88,35.21
514000,542.01,34.23
515000,566.26,38.07
516000,562.07,36.92
